2026-07-01 09:40:21,031 | INFO | rag | Multi-source retrieval: 1 chunks from Razorpay JD
2026-07-01 09:40:21,043 | INFO | rag | Multi-source retrieval: 2 chunks from My Resume
2026-07-01 10:02:51,476 | INFO | career_qa | Career Q&A: answering 'What skills does this role require that I should focus on learning?' grounded in Freshworks JD
2026-07-01 10:02:51,515 | INFO | reranker | Loading cross-encoder reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-07-01 10:02:51,515 | INFO | model | No device provided, using mps
2026-07-01 10:02:51,815 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-07-01 10:02:52,121 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 404 Not Found"
2026-07-01 10:02:52,126 | INFO | model | No modules.json found for cross-encoder/ms-marco-MiniLM-L-6-v2, initializing a new CrossEncoder model.
2026-07-01 10:02:52,427 | INFO | _client | HTTP Request: GET https://huggingface.co/api/models/cross-encoder/ms-marco-MiniLM-L-6-v2 "HTTP/1.1 307 Temporary Redirect"
2026-07-01 10:02:52,735 | INFO | _client | HTTP Request: GET https://huggingface.co/api/models/cross-encoder/ms-marco-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-07-01 10:02:53,042 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-01 10:02:53,350 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-01 10:02:53,384 | INFO | _client | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/cross-encoder/ms-marco-MiniLM-L6-v2/c5ee24cb16019beea0893ab7796b1df96625c6b8/config.json "HTTP/1.1 200 OK"
2026-07-01 10:02:53,629 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L-6-v2/resolve/main/adapter_config.json "HTTP/1.1 307 Temporary Redirect"
2026-07-01 10:02:53,964 | INFO | _client | HTTP Request: HEAD https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
