2026-06-29 11:57:28,954 | INFO | loaders | Text Loader Extracted 289 characters from /Users/aadhishs/gen ai masterclass/joblens/tests/../haptik_jd.txt
2026-06-29 11:57:28,954 | INFO | chunkers | Paragraph chunking produced 3 chunks
2026-06-29 11:57:29,423 | INFO | rag | Indexed 3/3 chunks for Haptik JD
2026-06-29 11:57:29,455 | INFO | rag | Multi-source retrieval: 2 chunks from Sarvam AI JD
2026-06-29 11:57:29,466 | INFO | rag | Multi-source retrieval: 2 chunks from Haptik JD
2026-06-29 11:57:29,475 | INFO | rag | Multi-source retrieval: 1 chunks from My Resume
2026-06-29 11:57:31,248 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-06-29 12:03:10,448 | INFO | loaders | Text Loader Extracted 289 characters from /Users/aadhishs/gen ai masterclass/joblens/tests/../haptik_jd.txt
2026-06-29 12:03:10,448 | INFO | chunkers | Paragraph chunking produced 3 chunks
2026-06-29 12:03:10,918 | INFO | rag | Indexed 3/3 chunks for Haptik JD
2026-06-29 12:03:10,956 | INFO | rag | Multi-source retrieval: 2 chunks from Sarvam AI JD
2026-06-29 12:03:10,968 | INFO | rag | Multi-source retrieval: 2 chunks from Haptik JD
2026-06-29 12:03:10,977 | INFO | rag | Multi-source retrieval: 1 chunks from My Resume
2026-06-29 12:03:12,553 | INFO | _client | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
